"BENCHMARKALTITUDE","BENCHMARKID","BENCHMARKLATITUDE","BENCHMARKLONGITUDE","DRONEALTITUDE","DRONELATITUDE","DRONELONGITUDE","UPDATETIMESTAMP"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872646085815","170.54656647795454","1754454282130"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872650945533","170.54656646770653","1754454282289"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872654460687","170.54656645699873","1754454282511"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872656829801","170.54656642253218","1754454282680"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872658905837","170.54656636780405","1754454282911"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872663085697","170.54656629637543","1754454283130"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872668412228","170.54656622457546","1754454283280"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872672343638","170.5465661864233","1754454283510"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872675010982","170.5465661366116","1754454283681"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858726766975266","170.54656610037986","1754454283910"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872677619806","170.5465660759099","1754454284130"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872677909309","170.54656606070165","1754454284290"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858726777157514","170.54656605383096","1754454284510"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587267778852","170.5465660468626","1754454284723"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872679853326","170.54656602209667","1754454284892"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858726812708134","170.54656600578363","1754454285112"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587268288293","170.5465659890547","1754454285272"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858726863518044","170.5465659548349","1754454285492"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872688299623","170.5465659290288","1754454285709"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858726880330686","170.5465659106008","1754454285884"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872689951306","170.54656589118724","1754454286103"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587269135069","170.54656585447734","1754454286312"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872692325767","170.54656581992694","1754454286485"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872693546711","170.54656576441926","1754454286702"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872696694165","170.546565691217","1754454286872"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872699104239","170.5465656037183","1754454287092"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872700224639","170.5465655038589","1754454287315"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858726985024326","170.54656540241652","1754454287472"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872696138858","170.54656532362054","1754454287701"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872691660023","170.54656526492082","1754454287922"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587268775531","170.54656521622312","1754454288092"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872685134601","170.54656515887183","1754454288303"
